Region,Customer_ID,Customer_Name,Sales,region_rank
Africa,AA-3151,Alex Avila,11,747
Africa,AA-3751,Allen Armold,365,505
Africa,AA-4801,Andrew Allen,496,445
Africa,AA-6451,Anna Andreadi,1503,173
Africa,AB-1051,Adrian Barton,97,679
Africa,AB-151,Aaron Bergman,2125,95
Africa,AB-1651,Alan Barnes,160,638
Africa,AB-2551,Alejandro Ballentine,4083,25
Africa,AB-6001,Ann Blume,1384,194
Africa,AB-601,Adam Bellavance,1483,175
Africa,AC-4201,Alyssa Crouse,841,312
Africa,AC-4501,Amy Cox,670,369
Africa,AC-6151,Ann Chong,1706,144
Africa,AC-6601,Anna Chung,2666,68
Africa,AD-1801,Alan Dominguez,12,746
Africa,AF-8701,Art Ferguson,672,367
Africa,AF-8851,Art Foster,139,654
Africa,AG-2701,Alejandro Grove,1997,106
Africa,AG-3001,Aleksandra Gannaway,866,308
Africa,AG-3301,Alex Grayson,513,436
Africa,AG-3901,Allen Goldenen,414,479
Africa,AG-4951,Andrew Gjertsen,469,452
Africa,AG-5251,Andy Gerbode,802,318
Africa,AG-6751,Anna Gayman,774,326
Africa,AG-7651,Anthony Garverick,769,328
Africa,AG-9001,Arthur Gainer,1698,147
Africa,AH-1201,Adrian Hane,1476,177
Africa,AH-1951,Alan Haines,80,692
Africa,AH-2101,Alan Hwang,3090,46
Africa,AH-301,Aaron Hawkins,5072,10
Africa,AH-4651,Amy Hunt,540,423
Africa,AH-5851,Angele Hood,889,299
Africa,AH-6901,Anna Häberlin,948,277
Africa,AH-751,Adam Hart,3426,38
Africa,AI-8551,Arianne Irving,30,729
Africa,AJ-7801,Anthony Jacobs,1608,158
Africa,AJ-7951,Anthony Johnson,1276,221
Africa,AJ-9451,Ashley Jarboe,3817,32
Africa,AJ-9601,Astrea Jones,4071,26
Africa,AM-3601,Alice McCarthy,435,464
Africa,AM-7051,Anne McFarland,867,307
Africa,AO-8101,Anthony O'Donnell,24,737
Africa,AP-7201,Anne Pryor,423,473
Africa,AP-9151,Arthur Prichep,2151,92
Africa,AR-3451,Alex Russell,1243,225
Africa,AR-4051,Allen Rosenblatt,144,651
Africa,AR-5101,Andrew Roberts,371,501
Africa,AR-5401,Andy Reiter,325,531
Africa,AR-5701,Anemone Ratner,970,267
Africa,AR-8251,Anthony Rawles,1704,145
Africa,AS-2251,Alan Schoenberger,254,564
Africa,AS-2851,Alejandro Savely,2059,102
Africa,AS-451,Aaron Smayling,1234,227
Africa,AS-6301,Ann Steele,1908,118
Africa,AS-901,Adam Shillingsburg,436,463
